lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_6,8,combined,elasticnet,0.2957515557791836,0.8470547607339601,0.6792385596443934
1,whdi_6,8,combined,random_forest,0.3251830598733114,0.8150996581463473,0.612221339743324
1,whdi_6,8,combined,xgboost,0.3391837617902323,0.7988351987535565,0.5781110173398778
1,whdi_6,8,combined,lstm,0.4208528093948543,0.6902991846276428,0.35048596416037203
2,whdi_3,1,climate_only,elasticnet,1.37722061639135,-0.05478272457868605,0.11487006914699127
2,whdi_3,1,climate_only,random_forest,1.4487980499094824,-0.16727096566893107,0.020474601020837202
2,whdi_3,1,climate_only,xgboost,1.3742855528543625,-0.050291715058803366,0.11863873813745263
2,whdi_3,1,climate_only,lstm,1.4060764547725295,-0.09944586300167146,0.0773906151297612
2,whdi_3,2,climate_only,elasticnet,0.6434269227277776,0.014687309022923034,0.26823433257042495
2,whdi_3,2,climate_only,random_forest,0.628904071734724,0.05866451229080871,0.3008950379441663
2,whdi_3,2,climate_only,xgboost,0.6097318301330633,0.1151832138099046,0.34286998226195564
2,whdi_3,2,climate_only,lstm,0.6691267697624096,-0.06559562486054715,0.2086103215996694
2,whdi_3,3,climate_only,elasticnet,1.0625849596885748,0.12715561002871045,-0.5677896568991598
2,whdi_3,3,climate_only,random_forest,1.027489865324238,0.1838601386799702,-0.46593785543233546
2,whdi_3,3,climate_only,xgboost,1.0328815254184416,0.17527242587358116,-0.4813629729778812
2,whdi_3,3,climate_only,lstm,1.1199291157573206,0.03040455378788276,-0.7415724147552627
2,whdi_3,4,climate_only,elasticnet,0.8105314345417787,-0.3204296456362019,0.23512418673040902
2,whdi_3,4,climate_only,random_forest,0.9191350924918372,-0.6979865141095476,0.016419526634770087
2,whdi_3,4,climate_only,xgboost,0.8644394007642072,-0.5019125572345378,0.12999788177197358
2,whdi_3,4,climate_only,lstm,0.8915072849384436,-0.5974428648559786,0.07466072543401603
2,whdi_3,5,climate_only,elasticnet,0.9443869876133356,-0.08013954444504967,0.29759196115532294
2,whdi_3,5,climate_only,random_forest,0.905620249719044,0.0067190030528162525,0.3540755352626098
2,whdi_3,5,climate_only,xgboost,0.8924703043906113,0.03535520285853466,0.3726974781855803
2,whdi_3,5,climate_only,lstm,0.9050936727876387,0.007873762562488174,0.3548264682015041
2,whdi_3,6,climate_only,elasticnet,1.200945439337301,0.05433594859477486,-0.7385670863388729
2,whdi_3,6,climate_only,random_forest,1.0233660898965735,0.3133232074868688,-0.2624289446575456
2,whdi_3,6,climate_only,xgboost,1.080050990378321,0.23514546771004663,-0.40615572062875804
2,whdi_3,6,climate_only,lstm,1.3060295581320192,-0.11839788628848491,-1.0561316163417627
2,whdi_3,7,climate_only,elasticnet,0.92981588659621,0.16600010915726826,-0.8094952820496544
2,whdi_3,7,climate_only,random_forest,1.0484092624111354,-0.060312222873284416,-1.3005158464110491
2,whdi_3,7,climate_only,xgboost,1.0203653878586567,-0.004346351349928668,-1.1790889954135286
2,whdi_3,7,climate_only,lstm,0.8196877979251186,0.3518597240037499,-0.40624331537560465
2,whdi_3,8,climate_only,elasticnet,0.7284989630334812,0.09469274863396404,0.38777694195038226
2,whdi_3,8,climate_only,random_forest,0.77468837528328,-0.023745961248511582,0.30768158311360316
2,whdi_3,8,climate_only,xgboost,0.7535274479652735,0.03141826243051704,0.3449869395710353
2,whdi_3,8,climate_only,lstm,0.8212861559306895,-0.1506073064961735,0.22189033310580997
2,whdi_3,1,local_only,elasticnet,1.0016161168099935,0.4420971425050596,0.5318310528128543
2,whdi_3,1,local_only,random_forest,1.0987661389696777,0.32862291828098966,0.43660818851995586
